VaR,ES,Classes,Loss Mean
15.300612,2.159854,2,24211.81546
15.526451,2.161986,2,24211.81546
15.497511,2.161412,2,24211.81546
15.06348,2.161311,2,24211.81546
15.194498,2.159366,2,24211.81546
15.337927,2.163379,2,24211.81546
15.331436,2.161132,2,24211.81546
15.45916,2.162244,2,24211.81546
15.27513,2.16329,2,24211.81546
15.111321,2.159995,2,24211.81546
15.198438,2.159209,2,24211.81546
15.177557,2.158279,2,24211.81546
15.619747,2.163677,2,24211.81546
15.281352,2.159638,2,24211.81546
14.992528,2.160641,2,24211.81546
15.084525,2.160578,2,24211.81546
15.38583,2.16033,2,24211.81546
15.397874,2.161203,2,24211.81546
15.314361,2.162774,2,24211.81546
15.105981,2.160238,2,24211.81546
15.312039,2.158485,2,24211.81546
15.30883,2.160333,2,24211.81546
15.325901,2.162432,2,24211.81546
15.190186,2.160017,2,24211.81546
15.338307,2.160912,2,24211.81546
15.512992,2.161592,2,24211.81546
14.766089,2.161443,2,24211.81546
15.237214,2.159438,2,24211.81546
15.123435,2.161843,2,24211.81546
15.450387,2.161821,2,24211.81546
15.19828,2.159045,2,24211.81546
15.108692,2.160919,2,24211.81546
15.218838,2.158864,2,24211.81546
15.37003,2.16057,2,24211.81546
15.435214,2.161524,2,24211.81546
15.31482,2.162224,2,24211.81546
15.07944,2.16157,2,24211.81546
15.172377,2.157965,2,24211.81546
15.17359,2.158785,2,24211.81546
15.04583,2.16259,2,24211.81546
15.240912,2.161632,2,24211.81546
15.501976,2.161189,2,24211.81546
15.267069,2.159077,2,24211.81546
15.293114,2.159912,2,24211.81546
15.336429,2.160845,2,24211.81546
15.322424,2.160399,2,24211.81546
15.471463,2.161121,2,24211.81546
15.122058,2.159372,2,24211.81546
15.196121,2.161797,2,24211.81546
15.067701,2.158845,2,24211.81546
15.304732,2.161811,2,24211.81546
15.284711,2.160132,2,24211.81546
15.305339,2.161329,2,24211.81546
15.245921,2.161212,2,24211.81546
15.339833,2.163793,2,24211.81546
14.88736,2.1603,2,24211.81546
15.431704,2.161461,2,24211.81546
15.248606,2.162591,2,24211.81546
15.275018,2.161735,2,24211.81546
15.062957,2.159696,2,24211.81546
15.23808,2.16031,2,24211.81546
15.468819,2.161464,2,24211.81546
15.230585,2.161414,2,24211.81546
15.20576,2.16133,2,24211.81546
15.654789,2.162672,2,24211.81546
15.123966,2.159718,2,24211.81546
15.4769,2.161953,2,24211.81546
15.309196,2.159484,2,24211.81546
15.013937,2.158852,2,24211.81546
15.110275,2.158297,2,24211.81546
15.194419,2.159762,2,24211.81546
15.211966,2.158644,2,24211.81546
15.331802,2.160588,2,24211.81546
15.6001,2.161683,2,24211.81546
15.14093,2.159586,2,24211.81546
15.290119,2.161043,2,24211.81546
15.15701,2.15921,2,24211.81546
15.222115,2.161481,2,24211.81546
15.370019,2.161396,2,24211.81546
15.225626,2.160512,2,24211.81546
15.11787,2.160505,2,24211.81546
15.265132,2.160063,2,24211.81546
15.029248,2.159437,2,24211.81546
15.415608,2.162062,2,24211.81546
15.541927,2.163745,2,24211.81546
15.397297,2.163225,2,24211.81546
15.23103,2.1604,2,24211.81546
14.958108,2.157722,2,24211.81546
15.210836,2.160559,2,24211.81546
15.323551,2.160043,2,24211.81546
15.10267,2.16148,2,24211.81546
15.617768,2.161773,2,24211.81546
15.210609,2.160951,2,24211.81546
15.398701,2.159804,2,24211.81546
15.305042,2.161169,2,24211.81546
15.246948,2.159427,2,24211.81546
15.210432,2.158416,2,24211.81546
15.195777,2.160946,2,24211.81546
15.424262,2.160326,2,24211.81546
15.239396,2.159805,2,24211.81546
15.467701,2.160439,2,24211.81546
14.967356,2.160897,2,24211.81546
15.305359,2.160139,2,24211.81546
15.536515,2.159277,2,24211.81546
15.412872,2.163548,2,24211.81546
15.523545,2.162936,2,24211.81546
15.042455,2.160866,2,24211.81546
15.401268,2.160516,2,24211.81546
15.637645,2.161905,2,24211.81546
15.281071,2.159616,2,24211.81546
15.656708,2.162922,2,24211.81546
15.474836,2.161537,2,24211.81546
15.150783,2.162112,2,24211.81546
15.388817,2.162016,2,24211.81546
15.231312,2.159892,2,24211.81546
